label,message,Unnamed: 2,Unnamed: 3,Unnamed: 4,cleaned_message,message_length
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",,,,go jurong point crazy available bugis n great world la e buffet cine got amore wat,111
0,Ok lar... Joking wif u oni...,,,,ok lar joking wif u oni,29
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs,155
0,U dun say so early hor... U c already then say...,,,,u dun say early hor u c already say,49
0,"Nah I don't think he goes to usf, he lives around here though",,,,nah dont think goes usf lives around though,61
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",,,,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send å rcv,148
0,Even my brother is not like to speak with me. They treat me like aids patent.,,,,even brother like speak treat like aids patent,77
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune,160
1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,,,,winner valued network customer selected receivea å prize reward claim call claim code kl valid hours,158
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,,,,mobile months u r entitled update latest colour mobiles camera free call mobile update co free,154
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",,,,im gonna home soon dont want talk stuff anymore tonight k ive cried enough today,109
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",,,,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info,136
1,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,,urgent week free membership å prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw,156
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,,,,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,196
0,I HAVE A DATE ON SUNDAY WITH WILL!!,,,,date sunday,35
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",,,,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,149
0,Oh k...i'm watching here:),,,,oh kim watching,26
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,,,,eh u remember spell name yes v naughty make v wet,81
0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,,,,fine thatåõs way u feel thatåõs way gota b,58
1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",,,,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txtì¼ poboxoxwwq,156
0,Is that seriously how you spell his name?,,,,seriously spell name,41
0,IÛ÷m going to try for 2 months ha ha only joking,,,,iûm going try months ha ha joking,49
0,So Ì_ pay first lar... Then when is da stock comin...,,,,ì_ pay first lar da stock comin,53
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,,,,aft finish lunch go str lor ard smth lor u finish ur lunch already,88
0,Ffffffffff. Alright no way I can meet up with you sooner?,,,,ffffffffff alright way meet sooner,57
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,,,,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol,144
0,Lol your always so convincing.,,,,lol always convincing,30
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,,,,catch bus frying egg make tea eating moms left dinner feel love,134
0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",,,,im back amp packing car ill let know theres room,75
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,,,,ahhh work vaguely remember feel like lol,64
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",,,,wait thats still clear sure sarcastic thats x doesnt want live us,130
0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,,,,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers,189
0,K tell me anything about you.,,,,k tell anything,29
0,For fear of fainting with the of all that housework you just did? Quick have a cuppa,,,,fear fainting housework quick cuppa,84
1,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,,,,thanks subscription ringtone uk mobile charged åmonth please confirm replying yes reply charged,159
0,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,,,,yup ok go home look timings msg ì_ xuhui going learn nd may lesson,123
0,"Oops, I'll let you know when my roommate's done",,,,oops ill let know roommates done,47
0,I see the letter B on my car,,,,see letter b car,28
0,Anything lor... U decide...,,,,anything lor u decide,27
0,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,,,,hello hows saturday go texting see youd decided anything tomo im trying invite anything,155
